#,Nome do Produto,SKU,Categoria,Prioridade,Repostável,Status Post,Link do Produto,Link da Imagem,Legenda Instagram,Observações,Ordem de Postagem
24087,Chapéu Rock Sport Consagrado Strass Castor,367.16.81.99,Chapéu,Normal,Não,Não Postado,,,,,174
24077,Chapéu Rock Sport Consagrado Strass Preto,367.16.80.99,Chapéu,Normal,Não,Não Postado,,,,,175
24067,Chapéu Rock Sport Consagrado Gravado Marrom,467.16.82.99,Chapéu,Normal,Não,Não Postado,,,,,176
24057,Chapéu Rock Sport Consagrado Gravado Castor,467.16.81.99,Chapéu,Normal,Não,Não Postado,,,,,177
24047,Chapéu Rock Sport Consagrado Gravado Preto,467.16.80.99,Chapéu,Normal,Não,Não Postado,,,,,178
24042,Chapéu Rock Sport Infantil Sibu Company Marrom,067.15.82.05,Chapéu,Normal,Não,Não Postado,,,,,179
24037,Chapéu Rock Sport Infantil Sibu Company Castor,067.15.81.57,Chapéu,Normal,Não,Não Postado,,,,,180
24032,Chapéu Rock Sport Infantil Sibu Company Preto,067.15.80.16,Chapéu,Normal,Não,Não Postado,,,,,181
24027,Chapéu Country Infantil Sibu Company Marrom Aba Fechada,050.15.82.16,Chapéu,Normal,Não,Não Postado,,,,,182
24022,Chapéu Country Infantil Sibu Company Castor Aba Fechada,050.15.81.16,Chapéu,Normal,Não,Não Postado,,,,,183
24017,Chapéu Country Infantil Sibu Company Preto Aba Fechada,050.15.80.16,Chapéu,Normal,Não,Não Postado,,,,,184
24012,Chapéu Milano Sibu Company Lã Verde,007.04.04.025,Chapéu,Normal,Não,Não Postado,,,,,185
19877,Chapéu Rock Samba Sibu Company Castor,032.10.81.13,Chapéu,Normal,Não,Não Postado,,,,,186
19869,Chapéu Rock Samba Sibu Company Preto,032.10.80.02,Chapéu,Normal,Não,Não Postado,,,,,187
23999,Chapéu Rock Santeiro Sibu Company Marrom,051.18.82.16,Chapéu,Normal,Não,Não Postado,,,,,188
18979,Chapéu Rock Santeiro Sibu Company Castor,051.18.81.13,Chapéu,Normal,Não,Não Postado,,,,,189
18970,Chapéu Rock Santeiro Sibu Company Preto,051.18.80.02,Chapéu,Normal,Não,Não Postado,,,,,190
23987,Chapéu Social Sport Sibu Company Marrom,180.16.82.16,Chapéu,Normal,Não,Não Postado,,,,,191
23977,Chapéu Social Sport Sibu Company Castor,180.16.81.45,Chapéu,Normal,Não,Não Postado,,,,,192
19763,Chapéu Social Sport Sibu Company Preto,180.16.80.57,Chapéu,Normal,Não,Não Postado,,,,,193
18892,Chapéu Social Sibu Company Marrom,052.18.82.03,Chapéu,Normal,Não,Não Postado,,,,,194
18901,Chapéu Social Sibu Company Castor,052.18.81.03,Chapéu,Normal,Não,Não Postado,,,,,195
18883,Chapéu Social Sibu Company Preto,052.18.80.04,Chapéu,Normal,Não,Não Postado,,,,,196
23962,Chapéu Copa Redonda Sibu Company Marrom Aba Larga,177.13.92.09,Chapéu,Normal,Não,Não Postado,,,,,197
23952,Chapéu Copa Redonda Sibu Company Castor Aba Larga,177.13.91.16,Chapéu,Normal,Não,Não Postado,,,,,198
23942,Chapéu Copa Redonda Sibu Company Marrom Aba Média,178.16.82.16,Chapéu,Normal,Não,Não Postado,,,,,199
23932,Chapéu Copa Redonda Sibu Company Preto Aba Média,178.16.80.08,Chapéu,Normal,Não,Não Postado,,,,,200
23927,Chapéu Cavaleiro I Alto Sibu Company Marrom 30X Aba Canoada,175.19.92.16,Chapéu,Normal,Não,Não Postado,,,,,201
23922,Chapéu Cavaleiro I Alto Sibu Company Castor 30X Aba Canoada,175.19.91.19,Chapéu,Normal,Não,Não Postado,,,,,202
23917,Chapéu Cavaleiro I Alto Sibu Company Preto 30X Aba Canoada,175.19.90.00,Chapéu,Normal,Não,Não Postado,,,,,203
19293,Chapéu Cavaleiro I Alto Sibu Company Preto 30X Aba Aberta,175.12.90.55,Chapéu,Normal,Não,Não Postado,,,,,204
23908,Chapéu Cavaleiro I Alto Sibu Company Castor 30X Aba Aberta,175.12.91.16,Chapéu,Normal,Não,Não Postado,,,,,205
19294,Chapéu Cavaleiro I Alto Sibu Company Marrom 30X Aba Aberta,175.12.92.75,Chapéu,Normal,Não,Não Postado,,,,,206
23895,Chapéu Cavaleiro II Alto Sibu Company Marrom 30X Aba Canoada,176.19.92.73,Chapéu,Normal,Não,Não Postado,,,,,207
23886,Chapéu Cavaleiro II Alto Sibu Company Castor 30X Aba Canoada,176.19.91.58,Chapéu,Normal,Não,Não Postado,,,,,208
23877,Chapéu Cavaleiro II Alto Sibu Company Preto 30X Aba Canoada,176.19.90.18,Chapéu,Normal,Não,Não Postado,,,,,209
23868,Chapéu Cavaleiro II Alto Sibu Company Marrom 30X Aba Aberta,176.12.92.50,Chapéu,Normal,Não,Não Postado,,,,,210
23859,Chapéu Cavaleiro II Alto Sibu Company Castor 30X Aba Aberta,176.12.91.01,Chapéu,Normal,Não,Não Postado,,,,,211
23850,Chapéu Cavaleiro II Alto Sibu Company Preto 30X Aba Aberta,176.12.90.16,Chapéu,Normal,Não,Não Postado,,,,,212
23841,Chapéu Top Bull Sibu Company Marrom 30X Aba Canoada,069.19.92.55,Chapéu,Normal,Não,Não Postado,,,,,213
23832,Chapéu Top Bull Sibu Company Castor 30X Aba Canoada,069.19.91.50,Chapéu,Normal,Não,Não Postado,,,,,214
23823,Chapéu Top Bull Sibu Company Preto 30X Aba Canoada,069.19.90.73,Chapéu,Normal,Não,Não Postado,,,,,215
